Date,AAPL,KO,MDLZ,SHOP
2010-01-04,7.643214225769043,28.520000457763672,27.43000030517578,0.0
2010-01-05,7.656428813934326,28.174999237060547,28.770000457763672,0.0
2010-01-06,7.534643173217773,28.165000915527344,28.969999313354492,0.0
2010-01-07,7.520713806152344,28.094999313354492,28.899999618530273,0.0
2010-01-08,7.570713996887207,27.575000762939453,28.93000030517578,0.0
2010-01-11,7.503929138183594,28.135000228881836,28.799999237060547,0.0
2010-01-12,7.4185709953308105,28.440000534057617,29.290000915527344,0.0
2010-01-13,7.523213863372803,28.514999389648438,29.229999542236328,0.0
2010-01-14,7.479642868041992,28.565000534057617,29.1200008392334,0.0
2010-01-15,7.354642868041992,28.145000457763672,29.579999923706055,0.0
2010-01-19,7.679999828338623,28.209999084472656,29.40999984741211,0.0
2010-01-20,7.56178617477417,27.75,28.780000686645508,0.0
2010-01-21,7.431070804595947,27.184999465942383,28.239999771118164,0.0
2010-01-22,7.0625,27.1200008392334,27.8700008392334,0.0
2010-01-25,7.252500057220459,27.174999237060547,27.690000534057617,0.0
2010-01-26,7.355000019073486,27.06999969482422,27.760000228881836,0.0
2010-01-27,7.424285888671875,27.2549991607666,28.350000381469727,0.0
2010-01-28,7.117499828338623,27.09000015258789,28.040000915527344,0.0
2010-01-29,6.859285831451416,27.125,27.65999984741211,0.0
2010-02-01,6.9546427726745605,27.190000534057617,28.059999465942383,0.0
2010-02-02,6.994999885559082,27.524999618530273,28.5,0.0
2010-02-03,7.115356922149658,27.434999465942383,28.479999542236328,0.0
2010-02-04,6.85892915725708,26.71500015258789,28.389999389648438,0.0
2010-02-05,6.980713844299316,26.545000076293945,28.440000534057617,0.0
2010-02-08,6.932857036590576,26.325000762939453,28.360000610351562,0.0
2010-02-09,7.006785869598389,27.0049991607666,28.899999618530273,0.0
2010-02-10,6.968571186065674,26.895000457763672,28.93000030517578,0.0
2010-02-11,7.0953569412231445,27.110000610351562,28.989999771118164,0.0
2010-02-12,7.156428813934326,26.989999771118164,29.09000015258789,0.0
2010-02-16,7.264286041259766,27.40999984741211,28.969999313354492,0.0
2010-02-17,7.23392915725708,27.665000915527344,28.6299991607666,0.0
2010-02-18,7.247499942779541,27.954999923706055,28.809999465942383,0.0
2010-02-19,7.202499866485596,27.860000610351562,28.920000076293945,0.0
2010-02-22,7.1578569412231445,27.690000534057617,28.950000762939453,0.0
2010-02-23,7.0378570556640625,27.415000915527344,29.1299991607666,0.0
2010-02-24,7.166429042816162,27.579999923706055,29.049999237060547,0.0
2010-02-25,7.214285850524902,26.559999465942383,28.809999465942383,0.0
2010-02-26,7.307857036590576,26.360000610351562,28.43000030517578,0.0
2010-03-01,7.463929176330566,26.635000228881836,28.719999313354492,0.0
2010-03-02,7.458929061889648,26.649999618530273,28.90999984741211,0.0
2010-03-03,7.476070880889893,26.96500015258789,28.969999313354492,0.0
2010-03-04,7.525356769561768,27.235000610351562,29.079999923706055,0.0
2010-03-05,7.819643020629883,27.350000381469727,29.34000015258789,0.0
2010-03-08,7.824285984039307,27.229999542236328,29.170000076293945,0.0
2010-03-09,7.965000152587891,27.09000015258789,29.229999542236328,0.0
2010-03-10,8.029999732971191,27.100000381469727,29.3799991607666,0.0
2010-03-11,8.053570747375488,26.799999237060547,29.420000076293945,0.0
2010-03-12,8.092857360839844,26.674999237060547,29.450000762939453,0.0
2010-03-15,7.994286060333252,26.825000762939453,29.559999465942383,0.0
2010-03-16,8.016071319580078,26.850000381469727,29.690000534057617,0.0
2010-03-17,8.00428581237793,26.920000076293945,29.700000762939453,0.0
2010-03-18,8.023214340209961,26.975000381469727,29.829999923706055,0.0
2010-03-19,7.9375,27.375,29.6299991607666,0.0
2010-03-22,8.026785850524902,27.270000457763672,29.729999542236328,0.0
2010-03-23,8.15571403503418,27.649999618530273,30.780000686645508,0.0
2010-03-24,8.19178581237793,27.309999465942383,30.719999313354492,0.0
2010-03-25,8.094642639160156,27.399999618530273,30.799999237060547,0.0
2010-03-26,8.246429443359375,27.325000762939453,30.6299991607666,0.0
2010-03-29,8.299642562866211,27.385000228881836,30.540000915527344,0.0
2010-03-30,8.423213958740234,27.434999465942383,30.5,0.0
2010-03-31,8.39285659790039,27.5,30.239999771118164,0.0
2010-04-01,8.427499771118164,27.649999618530273,30.34000015258789,0.0
2010-04-05,8.517499923706055,27.43000030517578,30.209999084472656,0.0
2010-04-06,8.555000305175781,27.145000457763672,30.079999923706055,0.0
2010-04-07,8.592857360839844,26.90999984741211,30.06999969482422,0.0
2010-04-08,8.569643020629883,26.8799991607666,30.1299991607666,0.0
2010-04-09,8.635356903076172,27.295000076293945,30.239999771118164,0.0
2010-04-12,8.653214454650879,27.3799991607666,30.34000015258789,0.0
2010-04-13,8.65821361541748,27.510000228881836,30.649999618530273,0.0
2010-04-14,8.774642944335938,27.475000381469727,30.8799991607666,0.0
2010-04-15,8.890000343322754,27.1299991607666,31.06999969482422,0.0
2010-04-16,8.835714340209961,27.485000610351562,30.65999984741211,0.0
2010-04-19,8.823928833007812,27.65999984741211,30.790000915527344,0.0
2010-04-20,8.735357284545898,27.235000610351562,30.450000762939453,0.0
2010-04-21,9.257857322692871,27.094999313354492,30.25,0.0
2010-04-22,9.516785621643066,27.155000686645508,30.190000534057617,0.0
2010-04-23,9.672499656677246,26.940000534057617,30.09000015258789,0.0
2010-04-26,9.625,26.864999771118164,30.09000015258789,0.0
2010-04-27,9.35857105255127,26.434999465942383,29.5,0.0
2010-04-28,9.342857360839844,26.68000030517578,29.75,0.0
